dataset,n_series,n_redutiveis,pct_redutiveis
ANP_MONTHLY,182,75,41.208791208791204
NN5_WEEKLY_DATASET,111,61,54.95495495495496
M4_WEEKLY_DATASET,359,199,55.43175487465181
ETTH1,7,4,57.14285714285714
ETTH2,7,1,14.285714285714285
ETTM1,7,3,42.857142857142854
ETTM2,7,3,42.857142857142854
